Date, Open, High, Low, Close
01/22/10, 6571.52, 6616.17, 6499.32, 6534.06
01/21/10, 6641.25, 6680.31, 6584.64, 6600.96
01/20/10, 6680.99, 6696.71, 6595.19, 6598.82
01/19/10, 6657.03, 6702.30, 6598.55, 6675.32
01/18/10, 6603.39, 6659.89, 6603.39, 6658.43
01/15/10, 6653.39, 6675.59, 6579.13, 6585.92
01/14/10, 6603.43, 6640.49, 6584.58, 6618.91
01/13/10, 6509.60, 6600.95, 6504.90, 6565.52
01/12/10, 6663.50, 6663.50, 6496.12, 6531.34
01/11/10, 6712.31, 6743.22, 6624.47, 6639.32
01/08/10, 6709.93, 6711.70, 6639.87, 6690.24
01/07/10, 6609.00, 6676.02, 6579.44, 6669.09
01/05/10, 6644.95, 6652.11, 6604.20, 6633.54
01/04/10, 6495.33, 6632.29, 6490.51, 6627.39
12/30/09, 6428.46, 6475.47, 6419.35, 6456.13
12/29/09, 6370.89, 6437.65, 6367.73, 6427.91
12/28/09, 6390.63, 6401.86, 6341.53, 6361.61
12/23/09, 6368.37, 6383.61, 6342.59, 6361.53
12/22/09, 6286.80, 6348.87, 6281.47, 6343.31
12/21/09, 6225.58, 6265.89, 6205.07, 6255.34
12/18/09, 6237.11, 6288.25, 6202.20, 6215.43
12/17/09, 6246.08, 6268.77, 6188.44, 6233.37
12/16/09, 6242.67, 6275.89, 6241.66, 6267.31
12/15/09, 6281.95, 6282.28, 6206.13, 6242.77
12/14/09, 6284.62, 6289.82, 6231.03, 6253.10
12/11/09, 6200.68, 6259.36, 6198.01, 6239.68
12/10/09, 6142.11, 6196.61, 6135.88, 6173.43
12/09/09, 6161.24, 6178.57, 6112.86, 6126.50
12/08/09, 6199.95, 6238.69, 6149.09, 6170.12
12/07/09, 6207.13, 6214.20, 6157.46, 6198.50
12/04/09, 6173.54, 6262.88, 6142.07, 6204.49
12/03/09, 6259.13, 6259.49, 6159.28, 6175.72
12/02/09, 6243.81, 6276.53, 6202.88, 6221.51
12/01/09, 6170.37, 6240.91, 6164.74, 6224.77
11/30/09, 6213.94, 6238.44, 6091.99, 6104.17
11/27/09, 6041.18, 6202.77, 6017.91, 6190.97
11/26/09, 6270.12, 6270.46, 6078.86, 6101.35
11/25/09, 6301.98, 6336.68, 6270.42, 6286.60
11/24/09, 6331.34, 6333.90, 6279.74, 6292.34
11/23/09, 6279.43, 6360.93, 6279.43, 6347.60
11/20/09, 6292.78, 6323.37, 6217.02, 6244.48
11/19/09, 6391.58, 6404.18, 6269.71, 6278.16
11/18/09, 6346.20, 6447.79, 6346.20, 6404.51
11/17/09, 6402.63, 6402.63, 6328.63, 6333.29
11/16/09, 6347.46, 6406.18, 6347.46, 6390.78
11/13/09, 6285.09, 6315.71, 6268.97, 6303.44
11/12/09, 6267.38, 6332.25, 6267.38, 6286.82
11/11/09, 6185.78, 6308.63, 6185.78, 6267.38
11/10/09, 6192.39, 6203.58, 6166.13, 6170.23
11/09/09, 6105.36, 6223.89, 6105.36, 6209.68
11/06/09, 6058.72, 6106.71, 6008.78, 6077.70
11/05/09, 6009.21, 6071.23, 5944.95, 6046.62
11/04/09, 5932.93, 6034.30, 5932.93, 6026.50
11/03/09, 5965.53, 5965.53, 5874.02, 5913.92
11/02/09, 5954.69, 5998.53, 5923.64, 5979.36
10/30/09, 6050.72, 6128.63, 5945.46, 5952.96
10/29/09, 5945.70, 6060.03, 5921.97, 6038.62
10/28/09, 6086.35, 6096.35, 5946.73, 5949.16
10/27/09, 6098.78, 6165.84, 6062.17, 6077.70
10/26/09, 6169.43, 6216.16, 6083.84, 6091.86
10/23/09, 6198.49, 6255.38, 6167.12, 6167.70
10/22/09, 6220.16, 6229.12, 6146.17, 6188.12
10/21/09, 6284.22, 6288.45, 6193.96, 6235.72
10/20/09, 6271.99, 6308.16, 6229.79, 6279.03
10/19/09, 6231.15, 6294.13, 6229.90, 6284.09
10/16/09, 6247.75, 6320.05, 6223.55, 6236.34
10/15/09, 6468.10, 6533.00, 6234.64, 6244.29
10/14/09, 6389.19, 6495.57, 6383.43, 6443.90
10/13/09, 6389.56, 6439.64, 6327.60, 6344.25
10/12/09, 6389.69, 6456.84, 6378.60, 6387.83
10/09/09, 6309.96, 6362.06, 6306.71, 6346.47
10/08/09, 6293.74, 6351.14, 6274.74, 6315.14
10/07/09, 6316.89, 6334.22, 6243.75, 6274.72
10/06/09, 6173.68, 6312.58, 6168.49, 6311.70
10/05/09, 6111.50, 6191.94, 6102.12, 6171.95
10/02/09, 6236.51, 6238.24, 6045.00, 6095.93
10/01/09, 6349.80, 6399.68, 6255.03, 6255.53
09/30/09, 6412.13, 6443.13, 6333.75, 6368.82
09/29/09, 6499.84, 6515.68, 6410.90, 6420.77
09/28/09, 6379.51, 6507.14, 6321.31, 6505.05
09/25/09, 6413.70, 6433.26, 6363.16, 6405.56
09/24/09, 6593.76, 6593.76, 6417.41, 6422.38
09/23/09, 6575.66, 6622.44, 6572.18, 6593.76
09/22/09, 6569.07, 6633.73, 6569.07, 6589.57
09/21/09, 6623.16, 6624.45, 6535.96, 6567.33
09/18/09, 6627.13, 6631.07, 6551.39, 6612.73
09/17/09, 6612.53, 6671.58, 6592.98, 6632.35
09/16/09, 6508.25, 6615.56, 6508.25, 6591.67
09/15/09, 6422.06, 6531.00, 6415.97, 6496.08
09/14/09, 6434.31, 6434.31, 6327.23, 6395.99
09/11/09, 6456.06, 6524.67, 6433.28, 6448.22
09/10/09, 6463.93, 6521.93, 6420.89, 6450.84
09/09/09, 6359.69, 6431.10, 6347.78, 6430.89
09/08/09, 6323.04, 6415.95, 6323.04, 6363.16
09/07/09, 6204.13, 6338.67, 6204.13, 6321.30
09/04/09, 6095.04, 6197.91, 6089.47, 6195.44
09/03/09, 6007.51, 6147.03, 6007.51, 6068.96
09/02/09, 6100.13, 6107.08, 5946.06, 5977.95
09/01/09, 6211.50, 6239.96, 6084.58, 6100.13
08/31/09, 6303.82, 6305.56, 6188.05, 6230.62
08/28/09, 6227.60, 6381.58, 6221.50, 6305.56
